season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win,predicted_wins,wins_above_expected,season_slope,season_intercept,season_r2,made_playoffs
2009,San Diego Padres,42796700,75,75.0,638,769,0.4140389327857241,67.07430711128731,570622.6666666666,72.31519180336021,-5.240884692072896,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Minnesota Twins,65299267,87,87.0,817,765,0.5315225526133917,86.10665352336945,750566.2873563218,77.8375381460761,8.269115377293346,13.070029276509132,23.218136598970027,0.22042848960009864,True
2009,Tampa Bay Rays,63313035,84,84.0,803,754,0.5300989613696161,85.87603174187781,753726.6071428572,77.43381044442593,8.44222129745188,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Pittsburgh Pirates,48743000,62,62.0,636,768,0.4131106308203447,66.92392219289586,786177.4193548387,74.01561046181698,-7.091688268921118,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Texas Rangers,68646023,87,87.0,784,740,0.5274477961879829,85.44654298245322,789034.7471264368,78.49080941916802,6.955733563285207,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Colorado Rockies,75201000,92,92.0,804,715,0.5555240847790287,89.99490173420266,817402.1739130435,79.68281346893443,10.31208826526823,13.070029276509132,23.218136598970027,0.22042848960009864,True
2009,Oakland Athletics,62310000,75,75.0,759,761,0.4987491245840629,80.79735818261818,830800.0,77.22509115316399,3.5722670294541956,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Cincinnati Reds,70968500,78,78.0,673,723,0.4668065437265493,75.62266008370099,909852.564102564,78.92568742661928,-3.303027342918284,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,San Francisco Giants,82161450,88,88.0,657,611,0.5327071740443007,86.29856219517671,933652.8409090908,80.83979448630825,5.458767708868464,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,St. Louis Cardinals,88528411,91,91.0,730,640,0.5604086691956538,90.78620440969593,972839.6813186812,81.81530637571541,8.970898033980518,13.070029276509132,23.218136598970027,0.22042848960009864,True
2009,Milwaukee Brewers,80257502,80,80.0,785,818,0.4801359292313286,77.78202053547523,1003218.775,80.53335492692139,-2.7513343914461643,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Washington Nationals,59328000,59,59.0,710,874,0.4013528997756941,65.01916976366246,1005559.3220338984,76.58412964249914,-11.564959878836675,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Baltimore Orioles,67101667,64,64.0,741,876,0.4197212473595915,67.99484207225382,1048463.546875,78.1934098976063,-10.198567825352484,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Arizona Diamondbacks,73571667,70,70.0,720,782,0.4609494913950224,74.67381760599363,1051023.8142857142,79.39652053742284,-4.722702931429211,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Los Angeles Dodgers,100458101,95,95.0,780,611,0.6112646043820037,99.0248659098846,1057453.694736842,83.46758296380776,15.557282946076839,13.070029276509132,23.218136598970027,0.22042848960009864,True
2009,Toronto Blue Jays,80993657,75,75.0,798,771,0.5165047466042106,83.67376894988212,1079915.4266666668,80.65269216835,3.0210767815321162,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Kansas City Royals,70908333,65,65.0,686,842,0.4036751367130508,65.39537214751422,1090897.4307692307,78.91460197338506,-13.519229825870838,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Atlanta Braves,96726167,86,86.0,735,641,0.5628787316460246,91.186354526656,1124722.8720930233,82.97279387877771,8.213560647878296,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Seattle Mariners,98904167,85,85.0,640,692,0.4643095063707032,75.21814003205392,1163578.4352941175,83.26382952138918,-8.04568948933526,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Los Angeles Angels,113709000,97,97.0,883,761,0.5717875302864355,92.62957990640254,1172257.731958763,85.08698335508691,7.542596551315626,13.070029276509132,23.218136598970027,0.22042848960009864,True
2009,Philadelphia Phillies,113004048,93,93.0,820,709,0.568814422160058,92.14793638992938,1215097.2903225806,85.0057019903413,7.142234399588091,13.070029276509132,23.218136598970027,0.22042848960009864,True
2009,Chicago White Sox,96068500,79,79.0,724,732,0.4948407796330335,80.16420630055143,1216056.9620253164,82.88362377444288,-2.719417473891454,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Cleveland Guardians,81625567,65,65.0,773,865,0.4456053285809992,72.18806323012188,1255777.9538461538,80.7542683973723,-8.566205167250416,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Boston Red Sox,122696000,95,95.0,872,736,0.5811846740395986,94.15191719441498,1291536.8421052631,86.0811838606061,8.070733333808874,13.070029276509132,23.218136598970027,0.22042848960009864,True
2009,Detroit Tigers,115085145,86,86.0,743,745,0.4987322442224364,80.7946235640347,1338199.3604651163,85.244211787158,-4.4495882231233,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Houston Astros,102996415,74,74.0,643,770,0.4168780884870393,67.53425033490038,1391843.445945946,83.79372524274501,-16.259474907844634,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,Chicago Cubs,135050000,83,83.0,707,672,0.523493248542114,84.80590626382246,1627108.4337349397,87.33506141785185,-2.5291551540293824,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,New York Mets,135773988,70,70.0,671,757,0.4439323953768956,71.9170480510571,1939628.4,87.40494124620028,-15.487893195143187,13.070029276509132,23.218136598970027,0.22042848960009864,False
2009,New York Yankees,201449289,103,103.0,915,753,0.5939947270052676,96.22714577485334,1955818.3398058251,92.56166943319951,3.6654763416538287,13.070029276509132,23.218136598970027,0.22042848960009864,True
2010,San Diego Padres,37799300,90,90.0,665,581,0.5603326146073019,90.7738835663829,419992.22222222225,73.97133142941922,16.802552136963683,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Pittsburgh Pirates,34943000,57,57.0,587,866,0.3252279469043664,52.68692739850736,613035.0877192982,73.27957440347294,-20.592647004965578,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Texas Rangers,55250545,90,90.0,787,687,0.5636800327315051,91.31616530250383,613894.9444444445,77.3132470628006,14.002918239703234,8.804069077670725,41.99239421827767,0.08836758033279613,True
2010,Oakland Athletics,51654900,81,81.0,663,626,0.5260110373756499,85.21378805485529,637714.8148148148,76.72079357259811,8.492994482257174,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Miami Marlins,55641500,80,80.0,719,717,0.5013026188947844,81.21102426095509,695518.75,77.37532562014158,3.8356986408135043,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Toronto Blue Jays,62689357,85,85.0,755,728,0.5171813105013533,83.78337230121923,737521.8470588236,78.42531969971743,5.358052601501797,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Tampa Bay Rays,71923471,96,96.0,802,649,0.597999332403611,96.87589184938498,749202.8229166666,79.63509530597099,17.240796543413992,8.804069077670725,41.99239421827767,0.08836758033279613,True
2010,Cincinnati Reds,72386544,91,91.0,790,685,0.5668052321135117,91.8224476023889,795456.5274725275,79.69159783870663,12.130849763682278,8.804069077670725,41.99239421827767,0.08836758033279613,True
2010,Cleveland Guardians,61203967,69,69.0,646,752,0.429956566891585,69.65296383643678,887014.0144927537,78.21420093406573,-8.561237097628947,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Washington Nationals,61425000,69,69.0,655,742,0.4423946101040186,71.66792683685101,890217.3913043478,78.24593881713622,-6.578011980285211,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Atlanta Braves,84423667,91,91.0,738,629,0.5731572620617967,92.85147645401108,927732.6043956043,81.04590446488575,11.805571989125326,8.804069077670725,41.99239421827767,0.08836758033279613,True
2010,Arizona Diamondbacks,60718167,65,65.0,713,836,0.4245218874509252,68.77254576704989,934125.6461538462,78.14404075474044,-9.371494987690554,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Colorado Rockies,84227000,83,83.0,770,717,0.5336345006309742,86.44878910221782,1014783.1325301204,81.02537124472201,5.4234178574958065,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Minnesota Twins,97559167,94,94.0,781,671,0.5707390986998244,92.45973398937156,1037863.4787234042,82.31907196964634,10.140662019725212,8.804069077670725,41.99239421827767,0.08836758033279613,True
2010,Milwaukee Brewers,81108279,77,77.0,750,804,0.4667904170985795,75.62004756996988,1053354.2727272727,80.69318935890101,-5.0731417889311246,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,San Francisco Giants,97828833,92,92.0,697,583,0.5801119374701088,93.97813387015762,1063356.8804347827,82.34337396976261,11.63475990039501,8.804069077670725,41.99239421827767,0.08836758033279613,True
2010,Kansas City Royals,72267710,67,67.0,676,845,0.3954762077260327,64.06714565161731,1078622.537313433,79.67713268540211,-15.609987033784805,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,St. Louis Cardinals,93540753,86,86.0,736,641,0.5635098712738893,91.28859914637006,1087683.1744186047,81.94875668921162,9.33984245715844,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Los Angeles Dodgers,94945517,80,80.0,667,692,0.483069232042157,78.25721559082943,1186818.9625,82.07999031476456,-3.822774723935126,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Houston Astros,92355500,76,76.0,611,729,0.4197490311608718,67.99934304806123,1215203.9473684211,81.8364877163508,-13.837144668289568,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Chicago White Sox,108273197,88,88.0,752,704,0.5309277960745326,86.01030296407427,1230377.2386363635,83.2364436413389,2.773859322735376,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Baltimore Orioles,81612500,66,66.0,613,785,0.3872044786618943,62.72712554322688,1236553.0303030305,80.74775166802922,-18.02062612480234,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Los Angeles Angels,105013667,80,80.0,681,702,0.485953395160722,78.72445001603697,1312670.8375,82.96732850563261,-4.24287848959564,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Philadelphia Phillies,141927381,97,97.0,772,640,0.5863917298874396,94.99546024176522,1463168.87628866,85.61933440539948,9.37612583636573,8.804069077670725,41.99239421827767,0.08836758033279613,True
2010,Detroit Tigers,122864929,81,81.0,751,743,0.5050653154780026,81.82058110743642,1516850.975308642,84.34952430045689,-2.528943193020467,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Seattle Mariners,98376667,61,61.0,513,698,0.3662049778442412,59.32520641076708,1612732.245901639,82.39253855396714,-23.067332143200062,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,New York Mets,132701445,79,79.0,656,652,0.5027845481301751,81.45109679708837,1679765.1265822784,85.02758039271205,-3.576483595623685,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Boston Red Sox,162747333,89,89.0,818,744,0.5453011241313953,88.33878210928604,1828621.7191011235,86.82446503703875,1.5143170722472945,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,Chicago Cubs,146859000,75,75.0,685,767,0.4471544775826349,72.43902536838687,1958120.0,85.92005866780715,-13.48103329942029,8.804069077670725,41.99239421827767,0.08836758033279613,False
2010,New York Yankees,206333389,95,95.0,859,693,0.6012650508725834,97.40493824135852,2171930.4105263157,88.91362097376964,8.491317267588883,8.804069077670725,41.99239421827767,0.08836758033279613,True
2011,Tampa Bay Rays,41932171,91,91.0,707,614,0.5640391707173278,91.3743456562071,460793.0879120879,74.93656439150791,16.437781264699183,8.513660648367736,43.12907411938191,0.120340607690134,True
2011,Kansas City Royals,36126400,71,71.0,730,762,0.4797268867807682,77.71575565848444,508822.5352112676,73.66777834162545,4.04797731685899,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Arizona Diamondbacks,53639833,94,94.0,731,662,0.545833793443314,88.42507453781685,570636.5212765958,77.03295634235431,11.392118195462544,8.513660648367736,43.12907411938191,0.120340607690134,True
2011,Cleveland Guardians,49188867,80,80.0,704,760,0.464069839765872,75.17931404207127,614860.8375,76.29546365870658,-1.1161496166353118,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Pittsburgh Pirates,46047000,72,72.0,610,712,0.429855815258271,69.63664207183992,639541.6666666666,75.73352201271356,-6.096879940873649,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,San Diego Padres,45869140,71,71.0,593,611,0.48670907972497,78.84687091544514,646044.2253521127,75.70057368453408,3.1462972309110597,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Toronto Blue Jays,62517800,81,81.0,743,761,0.4886582459408634,79.16263584241987,771824.6913580247,78.33690325330788,0.8257325891119933,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Miami Marlins,56944000,72,72.0,625,702,0.4470846377178355,72.42771131028935,790888.8888888889,77.54187218802619,-5.114160877736836,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Washington Nationals,63681929,80,80.0,624,643,0.486447761848593,78.80453741947207,796024.1125,78.49397617990164,0.3105612395704327,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Milwaukee Brewers,85497333,96,96.0,721,638,0.556058690062024,90.0815077900479,890597.21875,81.00196736225561,9.079540427792281,8.513660648367736,43.12907411938191,0.120340607690134,True
2011,Oakland Athletics,66536500,74,74.0,645,679,0.4765475254224608,77.20069911843865,899141.8918918918,78.86729880397986,-1.6665996855412146,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Texas Rangers,92299265,96,96.0,855,677,0.6094096660806579,98.7243659050666,961450.6770833334,81.65369656312993,17.07066934193668,8.513660648367736,43.12907411938191,0.120340607690134,True
2011,Cincinnati Reds,76181365,79,79.0,735,720,0.5096776583166636,82.5677806472995,964321.0759493673,80.01976077672062,2.5480198705788837,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Atlanta Braves,87003192,89,89.0,641,605,0.5259279684106062,85.2003308825182,977563.9550561798,81.15061268594076,4.0497181965774445,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Detroit Tigers,105705232,95,95.0,787,711,0.5479237352623827,88.763645112506,1112686.652631579,82.80830399714299,5.955341115363012,8.513660648367736,43.12907411938191,0.120340607690134,True
2011,St. Louis Cardinals,105433572,90,90.0,762,692,0.5451006354340475,88.3063029403157,1171484.1333333333,82.78639592260461,5.519907017711091,8.513660648367736,43.12907411938191,0.120340607690134,True
2011,Colorado Rockies,87998071,73,73.0,735,774,0.4754954333287141,77.03026019925169,1205453.0273972603,81.24741374093645,-4.217153541684766,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Baltimore Orioles,85304038,69,69.0,708,860,0.4077918060999161,66.06227258818642,1236290.4057971016,80.98269762539184,-14.920425037205419,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Houston Astros,70694000,56,56.0,615,796,0.3822200051108183,61.91964082795257,1262392.857142857,79.3833120687882,-17.46367124083563,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Los Angeles Dodgers,103788990,82,82.0,644,612,0.5229598900719447,84.71950219165504,1265719.3902439023,82.65255087932005,2.066951312334993,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,Seattle Mariners,86424600,67,67.0,556,675,0.414086639598601,67.08203561497336,1289919.4029850746,81.09380570983947,-14.011770094866108,8.513660648367736,43.12907411938191,0.120340607690134,False
2011,San Francisco Giants,118216333,86,86.0,570,578,0.4938881031812869,80.00987271536847,1374608.523255814,83.76065813610117,-3.750785420732697,8.513660648367736,43.12907411938191,0.120340607690134,False
