season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win
2005,St. Louis Cardinals,93319842,100,100.0,805,634,0.6099128151725016,98.80587605794527,933198.42
2005,Atlanta Braves,85148582,90,90.0,769,674,0.5614376216807901,90.952894712288,946095.3555555556
2005,Detroit Tigers,68998183,71,71.0,723,787,0.45984565120249926,74.49499549480488,971805.3943661972
2005,Los Angeles Angels,95017822,95,95.0,761,643,0.5776507419827852,93.5794202012112,1000187.6
2005,Baltimore Orioles,74570539,74,74.0,729,800,0.4558637318650224,73.84992456213362,1007709.9864864865
2005,Philadelphia Phillies,95337908,88,88.0,807,726,0.5502307695321675,89.13738466421114,1083385.3181818181
2005,Chicago Cubs,87210933,79,79.0,703,714,0.49276758048991887,79.82834803936686,1103935.8607594937
2005,Los Angeles Dodgers,81029500,71,71.0,685,755,0.4545881944818543,73.64328750606039,1141260.5633802817
2005,San Francisco Giants,89487842,75,75.0,649,745,0.43638216917294065,70.69391140601638,1193171.2266666666
2005,Seattle Mariners,85883333,69,69.0,699,751,0.466401608790812,75.55706062411154,1244685.9855072463
2005,New York Mets,104770139,83,83.0,722,648,0.5497249220320195,89.05543736918716,1262290.8313253012
2005,Boston Red Sox,121311945,95,95.0,910,805,0.560040063300959,90.72649025475536,1276967.8421052631
2005,New York Yankees,205938439,95,95.0,886,789,0.5564313307519515,90.14187558181614,2167773.042105263
2006,Miami Marlins,14998500,78,78.0,758,772,0.4912853413737773,79.58822530255192,192288.46153846153
2006,Colorado Rockies,41233000,76,76.0,813,812,0.5005963491362815,81.0966085600776,542539.4736842106
2006,Tampa Bay Rays,35417967,61,61.0,689,856,0.3978141363306428,64.44589008556413,580622.4098360656
2006,Minnesota Twins,63396006,96,96.0,801,683,0.574670041368199,93.09654670164824,660375.0625
2006,Oakland Athletics,62243079,93,93.0,771,727,0.5277862036747186,85.50136499530441,669280.4193548387
2006,Pittsburgh Pirates,46717750,67,67.0,691,797,0.43298158975508083,70.1430175403231,697279.8507462686
2006,Cleveland Guardians,56031500,78,78.0,870,782,0.5517291390369895,89.3801205239923,718352.5641025641
2006,Cincinnati Reds,60909519,80,80.0,749,801,0.4679591876263651,75.80938839547115,761368.9875
2006,Kansas City Royals,47294000,62,62.0,757,971,0.3796319418748862,61.50037458373156,762806.4516129033
2006,Milwaukee Brewers,57568333,75,75.0,730,833,0.4370919728009327,70.8088995937511,767577.7733333333
2006,Arizona Diamondbacks,59684226,76,76.0,773,788,0.49079553637684753,79.5088768930493,785318.7631578947
2006,San Diego Padres,69896141,88,88.0,731,679,0.5342739932866851,86.55238691244298,794274.3295454546
